<<<<<<< HEAD
Task_Type,Subtask_type,Agent,Agent Description,Data,Rounds,mean_fluency,mean_flexibility,mean_originality,mean_elaboration,std_fluency,std_flexibility,std_originality,std_elaboration
AUT       ,rolePlay-conv   ,    1 ,final-None-03-07-15:41                                                              ,  10 ,     6 ,        7.1  ,            6.9  ,            3.96 ,            3.18 ,       2.42 ,           2.45 ,           0.14 ,           0.44
AUT       ,CoT             ,    1 ,gpt-3.5-turbo                                                                       , 100 ,     1 ,       15.57 ,           12.27 ,            3.73 ,            3.28 ,       3.68 ,           4.37 ,           0.27 ,           0.35
AUT       ,basic           ,    1 ,gpt-3.5-turbo                                                                       , 100 ,     1 ,       14.13 ,           12.9  ,            3.74 ,            3.23 ,       4.36 ,           3.24 ,           0.24 ,           0.49
AUT       ,deep-breath     ,    1 ,gpt-3.5-turbo                                                                       , 100 ,     1 ,       16.7  ,           15.37 ,            3.74 ,            3.16 ,       2.48 ,           3.87 ,           0.27 ,           0.46
AUT       ,few-shot        ,    1 ,gpt-3.5-turbo                                                                       , 100 ,     1 ,       11.87 ,           11.87 ,            3.8  ,            2.33 ,       2.55 ,           2.97 ,           0.16 ,           0.17
AUT,debate-prompt-9,2,gpt-3-5-turbo-gemini-pro,10,6,7.83,7.77,4.15,3.55,2.59,2.45,0.34,0.4
AUT       ,debate-prompt-9 ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,        6.0  ,            6.02 ,            4.28 ,            3.83 ,       2.29 ,           2.24 ,           0.29 ,           0.18
AUT       ,debate-prompt-9 ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,        8.62 ,            7.85 ,            4.04 ,            3.5  ,       1.88 ,           2.38 ,           0.23 ,           0.33
AUT       ,prompt-test-q1  ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,       12.62 ,           10.17 ,            3.72 ,            2.97 ,       8.49 ,           5.09 ,           0.9  ,           0.96
AUT       ,prompt-test-q10 ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,        8.55 ,            8.28 ,            4.17 ,            3.7  ,       1.95 ,           2.27 ,           0.31 ,           0.38
AUT       ,prompt-test-q2  ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,        9.12 ,            7.72 ,            3.86 ,            3.29 ,       2.91 ,           3.09 ,           0.95 ,           0.89
AUT       ,prompt-test-q3  ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,        8.97 ,            7.87 ,            3.63 ,            3.11 ,       3.86 ,           3.51 ,           1.26 ,           1.18
AUT       ,prompt-test-q4  ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,       11.83 ,           11.15 ,            3.96 ,            3.54 ,       3.37 ,           2.99 ,           0.26 ,           0.41
AUT       ,prompt-test-q5  ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,       11.23 ,            9.4  ,            3.85 ,            3.24 ,      11.17 ,           9.49 ,           0.93 ,           0.97
AUT       ,prompt-test-q6  ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,        8.7  ,            8.48 ,            4.1  ,            3.32 ,       5.47 ,           4.43 ,           1.42 ,           1.28
AUT       ,prompt-test-q7  ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,       12.57 ,           12.27 ,            4.17 ,            3.56 ,       4.59 ,           4.82 ,           0.32 ,           0.57
AUT       ,prompt-test-q8  ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,        9.72 ,            9.63 ,            4.02 ,            3.34 ,       3.44 ,           3.4  ,           0.97 ,           1.04
AUT       ,prompt-test-q9  ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,        8.07 ,            7.63 ,            4.23 ,            3.85 ,       2.03 ,           2.39 ,           0.3  ,           0.34
AUT       ,rolePlay-conv   ,    2 ,final-None-None-03-07-15:54                                                         ,  10 ,     3 ,        6.48 ,            6.08 ,            3.99 ,            3.27 ,       1.83 ,           1.77 ,           0.31 ,           0.6
AUT       ,round-test      ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     2 ,        7.83 ,            7.53 ,            3.49 ,            2.99 ,       3.13 ,           3.13 ,           1.2  ,           1.1
AUT       ,round-test      ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     4 ,        8.9  ,            8.35 ,            3.94 ,            3.48 ,       4.18 ,           3.91 ,           0.34 ,           0.56
AUT       ,round-test      ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     6 ,        9.15 ,            9.18 ,            4.05 ,            3.7  ,       3.2  ,           3.28 ,           0.3  ,           0.32
AUT       ,round-test      ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,     8 ,       10.02 ,            9.67 ,            4.08 ,            3.65 ,       2.9  ,           2.92 ,           0.29 ,           0.41
AUT       ,round-test      ,    2 ,gpt-3-5-turbo-gpt-3-5-turbo                                                         ,  10 ,    10 ,        9.48 ,            9.08 ,            4.11 ,            3.52 ,       2.98 ,           3.07 ,           0.36 ,           0.42
AUT       ,debate-prompt-9 ,    3 ,gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo                                           ,  10 ,     6 ,        6.09 ,            6.11 ,            4.34 ,            3.73 ,       2.3  ,           2.21 ,           0.38 ,           0.35
AUT       ,rolePlay-conv   ,    3 ,final-None-None-None-03-07-16:05                                                    ,  10 ,     2 ,        7.34 ,            6.84 ,            3.91 ,            3.1  ,       2.32 ,           2.5  ,           0.25 ,           0.4
AUT       ,rolePlay-conv   ,    3 ,final-None-None-None-03-06-15:58                                                    ,  10 ,     6 ,        7.71 ,            6.77 ,            4.23 ,            3.5  ,       1.98 ,           1.69 ,           0.31 ,           0.64
AUT       ,rolePlay-debate ,    3 ,final-None-None-None-03-06-15:55                                                    ,  10 ,     6 ,        8.12 ,            7.46 ,            4.18 ,            3.45 ,       1.92 ,           1.89 ,           0.26 ,           0.66
AUT       ,debate-prompt-9 ,    4 ,gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo                             ,  10 ,     6 ,        6.37 ,            6.46 ,            4.3  ,            3.85 ,       2.15 ,           1.94 ,           0.35 ,           0.3
AUT       ,debate-prompt-9 ,    4 ,gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo                             ,  10 ,     6 ,        8.92 ,            7.85 ,            3.97 ,            3.24 ,       3.69 ,           2.29 ,           0.23 ,           0.5
AUT       ,debate-prompt-9 ,    6 ,gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo ,  10 ,     6 ,        5.97 ,            6.01 ,            4.32 ,            3.81 ,       2.03 ,           2.03 ,           0.33 ,           0.37
AUT       ,debate-prompt-9 ,    6 ,gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo-gpt-3-5-turbo ,  10 ,     6 ,        8.87 ,            8.4  ,            4.06 ,            3.39 ,       1.71 ,           1.98 ,           0.3  ,           0.43
>>>>>>> eff6a675d48b2162d208784eb5dfb85e3d87315c
