Timestamp           ,Task      ,Type   ,Mode           ,Agent ,Round ,Model Name         ,Role Name ,Data Num ,Mean Fluency ,STD Fluency ,Mean Flexibility ,STD Flexibility ,Mean Originality ,STD Originality ,Mean Elaboration ,STD Elaboration ,File Name
2024-03-17 17:58:57 ,Instances ,debate ,prompt-2-final ,    2 ,    6 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      18.0   ,     13.22  ,           5.85  ,          2.112 ,           3.328 ,          0.454 ,           2.632 ,          0.836 ,Instances_multi_debate_prompt-2-final_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-17-58-57_10
2024-03-17 19:39:22 ,Instances ,debate ,prompt-2-final ,    2 ,    8 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      18.55  ,     19.009 ,           7.317 ,          5.015 ,           3.481 ,          0.491 ,           2.752 ,          0.74  ,Instances_multi_debate_prompt-2-final_2_8_gpt-3-5-turbo-0125_None_final_2024-03-17-19-39-22_10
2024-03-17 20:55:27 ,Instances ,single ,default        ,    1 ,    1 ,gpt-3-5-turbo-0125 ,          ,      10 ,      13.367 ,      3.713 ,           7.9   ,          3.59  ,           2.781 ,          0.316 ,           2.319 ,          0.47  ,Instances_single_single_final_1_1_gpt-3.5-turbo-0125_None_final_2024-03-17-20-55-27_10
2024-03-17 21:36:07 ,Instances ,debate ,prompt-2-final ,    2 ,   10 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      17.333 ,     15.949 ,           6.667 ,          3.501 ,           3.46  ,          0.408 ,           2.811 ,          0.67  ,Instances_multi_debate_prompt-2-final_2_10_gpt-3-5-turbo-0125_None_final_2024-03-17-21-36-07_10
2024-03-18 03:58:09 ,Instances ,debate ,FINAL          ,    2 ,    2 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      26.0   ,     10.452 ,           9.167 ,          4.715 ,           2.853 ,          0.401 ,           2.49  ,          0.669 ,Instances_multi_debate_FINAL_2_2_gpt-3-5-turbo-0125_None_final_2024-03-18-03-58-09_10
2024-03-18 04:31:10 ,Instances ,debate ,FINAL          ,    3 ,    6 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      25.289 ,     19.451 ,           9.711 ,          5.418 ,           3.412 ,          0.389 ,           2.277 ,          0.753 ,Instances_multi_debate_FINAL_3_6_gpt-3-5-turbo-0125_None_final_2024-03-18-04-31-10_10
2024-03-18 05:07:06 ,Instances ,debate ,FINAL          ,    2 ,    3 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      19.233 ,     13.981 ,           6.567 ,          2.686 ,           3.308 ,          0.365 ,           2.383 ,          0.837 ,Instances_multi_debate_FINAL_2_3_gpt-3-5-turbo-0125_None_final_2024-03-18-05-07-06_10
2024-03-18 06:22:41 ,Instances ,debate ,FINAL          ,    2 ,    4 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      19.833 ,     13.584 ,           7.183 ,          3.229 ,           3.331 ,          0.441 ,           2.368 ,          0.643 ,Instances_multi_debate_FINAL_2_4_gpt-3-5-turbo-0125_None_final_2024-03-18-06-22-41_10
2024-03-18 07:30:14 ,Instances ,debate ,FINAL          ,    4 ,    6 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      28.95  ,     23.752 ,          10.25  ,          7.952 ,           3.466 ,          0.474 ,           2.277 ,          0.859 ,Instances_multi_debate_FINAL_4_6_gpt-3-5-turbo-0125_None_final_2024-03-18-07-30-14_10
2024-03-18 07:50:34 ,Instances ,debate ,FINAL          ,    2 ,    5 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      20.767 ,     21.626 ,           6.183 ,          2.222 ,           3.51  ,          0.457 ,           2.4   ,          0.483 ,Instances_multi_debate_FINAL_2_5_gpt-3-5-turbo-0125_None_final_2024-03-18-07-50-34_10
2024-03-18 09:15:27 ,Instances ,debate ,FINAL          ,    2 ,    6 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      17.183 ,     12.636 ,           7.883 ,          3.05  ,           3.341 ,          0.389 ,           2.246 ,          0.937 ,Instances_multi_debate_FINAL_2_6_gpt-3-5-turbo-0125_None_final_2024-03-18-09-15-27_10
2024-03-18 11:05:08 ,Instances ,debate ,FINAL          ,    2 ,    8 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      18.033 ,     14.506 ,           6.867 ,          4.223 ,           3.7   ,          0.585 ,           2.451 ,          0.954 ,Instances_multi_debate_FINAL_2_8_gpt-3-5-turbo-0125_None_final_2024-03-18-11-05-08_10
2024-03-18 11:22:57 ,Instances ,debate ,FINAL          ,    5 ,    6 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      22.267 ,     18.616 ,           9.067 ,          4.927 ,           3.367 ,          0.429 ,           2.142 ,          0.672 ,Instances_multi_debate_FINAL_5_6_gpt-3-5-turbo-0125_None_final_2024-03-18-11-22-57_10
2024-03-18 13:05:19 ,Instances ,debate ,FINAL          ,    2 ,   10 ,gpt-3-5-turbo-0125 ,None      ,      10 ,      16.133 ,     10.457 ,           7.2   ,          1.818 ,           3.616 ,          0.468 ,           2.154 ,          0.756 ,Instances_multi_debate_FINAL_2_10_gpt-3-5-turbo-0125_None_final_2024-03-18-13-05-19_10
2024-03-18 16:45:27 ,Instances ,single ,FINAL          ,    1 ,    1 ,gpt-3-5-turbo-0125 ,          ,      10 ,      12.367 ,      3.311 ,           6.4   ,          2.351 ,           2.637 ,          0.266 ,           1.888 ,          0.399 ,Instances_single_single_final_1_1_gpt-3.5-turbo-0125_None_final_2024-03-18-16-45-27_10
